,시가,고가,저가,종가,등락률,기관,프로그램
528,42000.0,42650.0,42000.0,42450.0,0.83,669522.0,-500670.0
529,41800.0,42300.0,41800.0,42100.0,-1.64,1732590.0,-1823878.0
530,42450.0,43000.0,42100.0,42800.0,-1.95,1139396.0,-217016.0
531,44050.0,44250.0,43450.0,43650.0,-0.8,389064.0,251768.0
532,44600.0,44750.0,43700.0,44000.0,-0.56,-466955.0,-205667.0
533,44050.0,44350.0,43500.0,44250.0,0.34,633166.0,-528407.0
534,44500.0,44500.0,43800.0,44100.0,-0.9,395110.0,645593.0
535,43900.0,44500.0,43400.0,44500.0,-1.55,1408316.0,223767.0
536,43850.0,45250.0,43700.0,45200.0,2.03,1058406.0,579800.0
537,44450.0,44850.0,43900.0,44300.0,0.57,-695425.0,219749.0
538,44900.0,45050.0,44050.0,44050.0,0.11,-735490.0,1176071.0
539,43600.0,44500.0,43400.0,44000.0,0.57,1320324.0,2123017.0
540,43750.0,43800.0,42950.0,43750.0,-0.11,-435917.0,1135505.0
541,43750.0,43800.0,42900.0,43800.0,-0.79,-1996695.0,796928.0
542,43050.0,44250.0,42800.0,44150.0,4.74,-978915.0,3988553.0
543,42450.0,42950.0,42150.0,42150.0,-0.59,-2058884.0,948670.0
544,42900.0,43350.0,41700.0,42400.0,0.12,-2462736.0,2527757.0
545,41400.0,43000.0,41000.0,42350.0,2.29,2678505.0,357257.0
546,40850.0,41950.0,40550.0,41400.0,0.98,4359252.0,1431470.0
547,41100.0,41300.0,40400.0,41000.0,0.0,1510898.0,1341927.0
548,40600.0,41550.0,40550.0,41000.0,-3.64,5246328.0,-345649.0
549,43050.0,43100.0,42250.0,42550.0,-1.16,4017269.0,-170292.0
550,43300.0,43450.0,42550.0,43050.0,-1.15,-155788.0,-518921.0
551,43450.0,43950.0,43200.0,43550.0,-0.8,249017.0,1979116.0
552,43900.0,44150.0,43450.0,43900.0,-0.34,577241.0,-43808.0
553,43950.0,44450.0,43700.0,44050.0,-0.23,-1360534.0,1173696.0
554,44150.0,44500.0,44000.0,44150.0,1.26,78141.0,-311949.0
555,43700.0,44150.0,43350.0,43600.0,-0.46,-695783.0,-53201.0
556,44050.0,44050.0,43350.0,43800.0,-0.45,-1460858.0,533715.0
557,43200.0,44650.0,43200.0,44000.0,2.09,-583657.0,5247.0
558,44000.0,44650.0,43100.0,43100.0,-4.86,2127126.0,-3909848.0
559,45250.0,45500.0,44500.0,45300.0,0.78,805478.0,-193724.0
560,44200.0,45200.0,44200.0,44950.0,0.56,258139.0,-250253.0
561,44800.0,45500.0,44550.0,44700.0,0.0,417896.0,-1127541.0
562,45150.0,45600.0,44700.0,44700.0,-2.19,1339527.0,-1870671.0
563,46450.0,46700.0,45700.0,45700.0,-1.4,-449070.0,456767.0
564,46450.0,46800.0,45800.0,46350.0,-0.22,-809728.0,795736.0
